<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SPFB.RTS,D,20170109,000000,116160.0000000
SPFB.RTS,D,20170110,000000,116760.0000000
SPFB.RTS,D,20170111,000000,117690.0000000
SPFB.RTS,D,20170112,000000,117340.0000000
SPFB.RTS,D,20170113,000000,115830.0000000
SPFB.RTS,D,20170116,000000,115570.0000000
SPFB.RTS,D,20170117,000000,115320.0000000
SPFB.RTS,D,20170118,000000,115040.0000000
SPFB.RTS,D,20170119,000000,113580.0000000
SPFB.RTS,D,20170120,000000,113820.0000000
SPFB.RTS,D,20170123,000000,113980.0000000
SPFB.RTS,D,20170124,000000,115500.0000000
SPFB.RTS,D,20170125,000000,115550.0000000
SPFB.RTS,D,20170126,000000,116060.0000000
SPFB.RTS,D,20170127,000000,119140.0000000
SPFB.RTS,D,20170130,000000,117640.0000000
SPFB.RTS,D,20170131,000000,116100.0000000
SPFB.RTS,D,20170201,000000,116760.0000000
SPFB.RTS,D,20170202,000000,117800.0000000
SPFB.RTS,D,20170203,000000,118480.0000000
SPFB.RTS,D,20170206,000000,118050.0000000
SPFB.RTS,D,20170207,000000,117430.0000000
SPFB.RTS,D,20170208,000000,116500.0000000
SPFB.RTS,D,20170209,000000,116200.0000000
SPFB.RTS,D,20170210,000000,116930.0000000
SPFB.RTS,D,20170213,000000,117530.0000000
SPFB.RTS,D,20170214,000000,117540.0000000
SPFB.RTS,D,20170215,000000,117440.0000000
SPFB.RTS,D,20170216,000000,117060.0000000
SPFB.RTS,D,20170217,000000,115320.0000000
SPFB.RTS,D,20170220,000000,114950.0000000
SPFB.RTS,D,20170221,000000,116450.0000000
SPFB.RTS,D,20170222,000000,114140.0000000
SPFB.RTS,D,20170224,000000,113050.0000000
SPFB.RTS,D,20170227,000000,111700.0000000
SPFB.RTS,D,20170228,000000,109590.0000000
SPFB.RTS,D,20170301,000000,111210.0000000
SPFB.RTS,D,20170302,000000,109400.0000000
SPFB.RTS,D,20170303,000000,111340.0000000
SPFB.RTS,D,20170306,000000,110690.0000000
SPFB.RTS,D,20170307,000000,109380.0000000
SPFB.RTS,D,20170309,000000,105070.0000000
SPFB.RTS,D,20170310,000000,104630.0000000
SPFB.RTS,D,20170313,000000,106640.0000000
SPFB.RTS,D,20170314,000000,106410.0000000
SPFB.RTS,D,20170315,000000,108060.0000000
SPFB.RTS,D,20170316,000000,109440.0000000
SPFB.RTS,D,20170317,000000,112060.0000000
SPFB.RTS,D,20170320,000000,111740.0000000
SPFB.RTS,D,20170321,000000,111440.0000000
SPFB.RTS,D,20170322,000000,112180.0000000
SPFB.RTS,D,20170323,000000,111880.0000000
SPFB.RTS,D,20170324,000000,112620.0000000
SPFB.RTS,D,20170327,000000,111380.0000000
SPFB.RTS,D,20170328,000000,111720.0000000
SPFB.RTS,D,20170329,000000,112390.0000000
SPFB.RTS,D,20170330,000000,113310.0000000
SPFB.RTS,D,20170331,000000,111340.0000000
SPFB.RTS,D,20170403,000000,112250.0000000
SPFB.RTS,D,20170404,000000,113540.0000000
SPFB.RTS,D,20170405,000000,114250.0000000
SPFB.RTS,D,20170406,000000,114140.0000000
SPFB.RTS,D,20170407,000000,110660.0000000
SPFB.RTS,D,20170410,000000,108220.0000000
SPFB.RTS,D,20170411,000000,109320.0000000
SPFB.RTS,D,20170412,000000,107430.0000000
SPFB.RTS,D,20170413,000000,108060.0000000
SPFB.RTS,D,20170414,000000,106650.0000000
SPFB.RTS,D,20170417,000000,109230.0000000
SPFB.RTS,D,20170418,000000,107050.0000000
SPFB.RTS,D,20170419,000000,105770.0000000
SPFB.RTS,D,20170420,000000,107550.0000000
SPFB.RTS,D,20170421,000000,108000.0000000
SPFB.RTS,D,20170424,000000,110560.0000000
SPFB.RTS,D,20170425,000000,111570.0000000
SPFB.RTS,D,20170426,000000,110860.0000000
SPFB.RTS,D,20170427,000000,111300.0000000
SPFB.RTS,D,20170428,000000,111280.0000000
SPFB.RTS,D,20170502,000000,111660.0000000
SPFB.RTS,D,20170503,000000,109030.0000000
SPFB.RTS,D,20170504,000000,106850.0000000
SPFB.RTS,D,20170505,000000,108440.0000000
SPFB.RTS,D,20170510,000000,110380.0000000
SPFB.RTS,D,20170511,000000,110110.0000000
SPFB.RTS,D,20170512,000000,109310.0000000
SPFB.RTS,D,20170515,000000,111260.0000000
SPFB.RTS,D,20170516,000000,110510.0000000
SPFB.RTS,D,20170517,000000,109190.0000000
SPFB.RTS,D,20170518,000000,107610.0000000
SPFB.RTS,D,20170519,000000,107890.0000000
SPFB.RTS,D,20170522,000000,108260.0000000
