<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,60,20180912,160000,174.0000000,6292570
SBER,60,20180912,170000,172.9700000,11149320
SBER,60,20180912,180000,173.9000000,10697490
SBER,60,20180913,100000,179.5600000,32638820
SBER,60,20180913,110000,180.2700000,13516900
SBER,60,20180913,120000,180.9700000,18300700
SBER,60,20180913,130000,182.2200000,11589120
SBER,60,20180913,140000,186.7200000,36041560
SBER,60,20180913,150000,186.1600000,13452990
SBER,60,20180913,160000,186.8600000,24238950
SBER,60,20180913,170000,183.9900000,24980970
SBER,60,20180913,180000,183.5000000,19945790
SBER,60,20180914,100000,187.1000000,27675030
SBER,60,20180914,110000,183.6500000,17202840
SBER,60,20180914,120000,184.1700000,16115500
SBER,60,20180914,130000,186.6000000,15525330
SBER,60,20180914,140000,186.2000000,9044090
SBER,60,20180914,150000,186.8400000,9512580
SBER,60,20180914,160000,186.8000000,10722990
SBER,60,20180914,170000,187.2300000,5090040
SBER,60,20180914,180000,188.7100000,16881980
SBER,60,20180917,100000,188.3700000,26791000
SBER,60,20180917,110000,187.9000000,6919130
SBER,60,20180917,120000,188.4500000,7226970
SBER,60,20180917,130000,188.6000000,4282990
SBER,60,20180917,140000,188.1500000,5088200
SBER,60,20180917,150000,187.1500000,6245030
SBER,60,20180917,160000,187.3800000,3903820
SBER,60,20180917,170000,187.6800000,2271150
SBER,60,20180917,180000,188.1100000,4064900
SBER,60,20180918,100000,188.4600000,20310570
SBER,60,20180918,110000,191.1100000,14025770
SBER,60,20180918,120000,191.9000000,14739980
SBER,60,20180918,130000,191.3200000,5867200
SBER,60,20180918,140000,191.4000000,5322340
SBER,60,20180918,150000,192.4000000,6147840
SBER,60,20180918,160000,192.0500000,6840990
SBER,60,20180918,170000,192.2900000,4897890
SBER,60,20180918,180000,191.6500000,5420640
SBER,60,20180919,100000,192.3600000,15977920
SBER,60,20180919,110000,192.9100000,9402000
SBER,60,20180919,120000,192.5300000,3162510
SBER,60,20180919,130000,192.7100000,4766050
SBER,60,20180919,140000,192.7600000,5322970
SBER,60,20180919,150000,192.2400000,3772040
SBER,60,20180919,160000,192.7800000,4801340
SBER,60,20180919,170000,192.7700000,4060370
SBER,60,20180919,180000,193.9000000,9681840
SBER,60,20180920,100000,194.8900000,19799140
SBER,60,20180920,110000,195.8900000,21320610
SBER,60,20180920,120000,196.1900000,8847030
SBER,60,20180920,130000,196.2700000,4729650
SBER,60,20180920,140000,194.7300000,11831840
SBER,60,20180920,150000,194.1600000,36099750
SBER,60,20180920,160000,193.3200000,12682400
SBER,60,20180920,170000,193.6000000,6735510
SBER,60,20180920,180000,191.1600000,10728770
SBER,60,20180921,100000,192.1900000,16572180
SBER,60,20180921,110000,192.7800000,6672440
SBER,60,20180921,120000,192.4500000,4251280
SBER,60,20180921,130000,191.9800000,5127530
SBER,60,20180921,140000,191.9500000,5459410
SBER,60,20180921,150000,189.9700000,10531310
SBER,60,20180921,160000,193.3100000,18149310
SBER,60,20180921,170000,193.9500000,14344430
SBER,60,20180921,180000,193.4400000,27849140
SBER,60,20180924,100000,196.0500000,14425550
SBER,60,20180924,110000,197.7800000,16462400
SBER,60,20180924,120000,197.2800000,6263570
SBER,60,20180924,130000,197.2300000,3099400
SBER,60,20180924,140000,197.5600000,5010560
SBER,60,20180924,150000,195.9000000,7185880
SBER,60,20180924,160000,196.9700000,6096450
SBER,60,20180924,170000,197.4400000,6329660
SBER,60,20180924,180000,198.7500000,11051600
SBER,60,20180925,100000,198.9100000,20182790
SBER,60,20180925,110000,198.6200000,6267760
SBER,60,20180925,120000,196.6000000,9947140
SBER,60,20180925,130000,198.4900000,17618510
SBER,60,20180925,140000,198.4800000,9730810
SBER,60,20180925,150000,197.4200000,5976360
SBER,60,20180925,160000,197.4700000,5501960
SBER,60,20180925,170000,196.3800000,5704630
SBER,60,20180925,180000,195.5500000,8943600
SBER,60,20180926,100000,196.1000000,14825390
SBER,60,20180926,110000,196.1100000,7098150
SBER,60,20180926,120000,194.8900000,8085020
SBER,60,20180926,130000,193.8600000,7986050
SBER,60,20180926,140000,193.7600000,4512260
SBER,60,20180926,150000,194.9200000,4398110
SBER,60,20180926,160000,195.3300000,4468600
SBER,60,20180926,170000,195.4600000,5638610
SBER,60,20180926,180000,195.7900000,4909080
SBER,60,20180927,100000,196.3400000,9215700
SBER,60,20180927,110000,198.0200000,9638800
SBER,60,20180927,120000,198.8300000,13586270
SBER,60,20180927,130000,199.3400000,6320370
SBER,60,20180927,140000,201.2100000,18053690
