<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20160628,000000,327.0000000
ROSN,D,20160629,000000,331.5000000
ROSN,D,20160630,000000,330.0000000
ROSN,D,20160701,000000,332.4500000
ROSN,D,20160704,000000,331.2000000
ROSN,D,20160705,000000,329.4000000
ROSN,D,20160706,000000,320.5000000
ROSN,D,20160707,000000,320.9000000
ROSN,D,20160708,000000,325.0000000
ROSN,D,20160711,000000,328.3500000
ROSN,D,20160712,000000,339.4000000
ROSN,D,20160713,000000,336.5000000
ROSN,D,20160714,000000,336.5000000
ROSN,D,20160715,000000,335.0000000
ROSN,D,20160718,000000,333.7000000
ROSN,D,20160719,000000,329.5000000
ROSN,D,20160720,000000,329.0500000
ROSN,D,20160721,000000,334.3000000
ROSN,D,20160722,000000,334.3000000
ROSN,D,20160725,000000,334.0000000
ROSN,D,20160726,000000,330.0000000
ROSN,D,20160727,000000,329.9000000
ROSN,D,20160728,000000,334.0000000
ROSN,D,20160729,000000,325.5000000
ROSN,D,20160801,000000,325.6000000
ROSN,D,20160802,000000,317.3500000
ROSN,D,20160803,000000,323.2500000
ROSN,D,20160804,000000,329.0000000
ROSN,D,20160805,000000,329.9000000
ROSN,D,20160808,000000,329.0000000
ROSN,D,20160809,000000,329.9000000
ROSN,D,20160810,000000,326.6000000
ROSN,D,20160811,000000,325.0500000
ROSN,D,20160812,000000,330.8500000
ROSN,D,20160815,000000,339.0000000
ROSN,D,20160816,000000,343.5000000
ROSN,D,20160817,000000,345.5500000
ROSN,D,20160818,000000,351.8500000
ROSN,D,20160819,000000,349.0500000
ROSN,D,20160822,000000,351.7500000
ROSN,D,20160823,000000,351.0000000
ROSN,D,20160824,000000,350.2000000
ROSN,D,20160825,000000,348.2000000
ROSN,D,20160826,000000,350.5500000
ROSN,D,20160829,000000,350.6000000
ROSN,D,20160830,000000,348.0000000
ROSN,D,20160831,000000,344.7000000
ROSN,D,20160901,000000,341.3000000
ROSN,D,20160902,000000,349.9000000
ROSN,D,20160905,000000,353.6000000
ROSN,D,20160906,000000,358.0000000
ROSN,D,20160907,000000,364.0000000
ROSN,D,20160908,000000,364.7500000
ROSN,D,20160909,000000,362.4000000
ROSN,D,20160912,000000,367.0000000
ROSN,D,20160913,000000,363.9000000
ROSN,D,20160914,000000,367.1500000
ROSN,D,20160915,000000,367.9000000
ROSN,D,20160916,000000,360.8500000
ROSN,D,20160919,000000,361.2000000
ROSN,D,20160920,000000,358.8000000
ROSN,D,20160921,000000,360.0000000
ROSN,D,20160922,000000,360.4500000
ROSN,D,20160923,000000,356.0500000
ROSN,D,20160926,000000,350.3500000
ROSN,D,20160927,000000,341.0000000
ROSN,D,20160928,000000,341.3000000
ROSN,D,20160929,000000,349.2000000
ROSN,D,20160930,000000,342.8000000
ROSN,D,20161003,000000,346.0000000
ROSN,D,20161004,000000,346.6000000
ROSN,D,20161005,000000,341.7000000
ROSN,D,20161006,000000,343.4000000
ROSN,D,20161007,000000,341.5000000
ROSN,D,20161010,000000,361.0000000
ROSN,D,20161011,000000,362.0500000
ROSN,D,20161012,000000,363.1500000
ROSN,D,20161013,000000,359.4000000
ROSN,D,20161014,000000,353.8500000
ROSN,D,20161017,000000,348.0000000
ROSN,D,20161018,000000,345.7500000
ROSN,D,20161019,000000,345.1000000
ROSN,D,20161020,000000,342.8000000
ROSN,D,20161021,000000,344.3000000
ROSN,D,20161024,000000,347.7500000
ROSN,D,20161025,000000,348.7000000
ROSN,D,20161026,000000,347.6000000
ROSN,D,20161027,000000,346.7000000
ROSN,D,20161028,000000,349.9000000
ROSN,D,20161031,000000,347.6500000
ROSN,D,20161101,000000,354.8000000
ROSN,D,20161102,000000,348.1500000
ROSN,D,20161103,000000,342.0000000
ROSN,D,20161107,000000,341.0000000
ROSN,D,20161108,000000,340.5000000
ROSN,D,20161109,000000,347.6000000
ROSN,D,20161110,000000,351.0500000
ROSN,D,20161111,000000,342.1000000
ROSN,D,20161114,000000,337.7000000
ROSN,D,20161115,000000,338.0000000
ROSN,D,20161116,000000,339.2500000
